Character,Reading
㤴,chè shè dié
㤶,máng màng
㤷,hān
㤸,xì
㤹,qiú jiù
㤺,huǎng
㤿,yān
㥀,zhí dé
㥂,tè
㥄,líng
㥅,shòu
㥆,tuì
㥇,cán
㥈,dié
㥊,péng pēng
㥋,yī
㥌,jú
㥏,tiǎn
㥒,cǎi cāi
㥓,qī
㥔,yù
㥖,cōng
㥚,yú yǔ
㥛,jí kè
㥜,wèi
㥝,mǐ
㥞,suì
㥟,xié
㥠,xū
㥡,chì
㥢,qiú jiū
㥥,yú
㥨,shuì wěi
㥩,duǒ
㥬,páng
㥮,zhòu chǎo
㥯,yǐn
㥰,sāo
㥲,chēn shèn
㥳,yuán
㥴,yí tí
㥶,sè qiān
㥹,fěn
㥼,yìn yān
㥽,cè zé
㥾,nì
㦀,féng
㦁,lián liǎn
㦃,chǎn
㦄,má
㦅,diē dì chài
㦆,hū xiā
㦇,lù
㦊,huá
㦋,zhā
㦌,hū xù
㦎,huò
㦏,sǔn xuàn
㦐,nì
㦑,xiàn hān
㦒,lí
㦓,xiàn rǎn
㦕,lóng
㦗,jīn jìn
㦘,jī
㦚,biǎn
㦛,yǔ yú
㦜,huò xuè
㦟,mái
㦢,jié
㦣,wèi
㦥,xuān xiǎn
㦦,xì
㦩,yǐn
㦪,xiè
㦫,zā
㦬,luǒ
㦭,líng
㦰,jiān
㦱,wǒ
㦴,gé
㦵,zhū
㦶,dié yǒng
㦹,yáng
㦺,rù
㦼,shuàng
㦽,yù
㦿,qiǎn hù
㧀,jí
㧁,qù hé
㧃,shōu jiū
㧄,qiǎn
㧅,mù dāo
㧆,jīn
㧇,mǎo
㧉,gài hài yè
㧊,pō bá
㧋,xuǎn
㧌,mào
㧍,fǎng bēng
㧎,yá yà qiā
㧒,yù
㧓,guā
㧔,guài
㧕,liǔ
㧗,zǐ jǐ zhǐ
㧘,zì
㧙,bì bié
㧚,wǎ
㧡,hài wèi
㧢,yīn
㧣,zhū
㧤,chòng
㧥,xiǎn
㧦,xuàn hōng
㧩,pèi
㧪,guǐ wěi
㧫,ér ruán ruí
㧬,gǒng
㧭,qióng
㧮,hū
㧯,lǎo
㧲,sǎn
㧳,zhuò bāi
㧴,wǒ é
㧶,kēng
㧷,tùn
㧸,pēng
㧹,tè
㧺,tà
㧻,zhuó zú dū
㧽,gù
㧾,hū
㨁,zhì zhí
㨂,dǒng
㨃,duǐ chéng
㨄,zhào tiáo zhōu
㨅,nèi ruì
㨆,lǐn
㨇,pó
㨉,mín wěn
㨊,wěi tuǒ duò
㨋,chě
㨌,gòu
㨍,bāng
㨏,tān
㨐,bǔ
㨑,zōng
㨒,kuī
㨔,hàn
㨖,zhì
㨙,xié xì
㨚,xún sǔn
㨛,shǎn shàn
㨜,qián
㨝,xiē
㨞,sù
㨟,hāi
㨡,hún
㨢,pī
㨥,nà
㨧,bèn
㨨,chōu liù
㨪,huàng huǎng
㨭,hù
㨮,dōu
㨰,gǔn
㨳,guǐ jì
㨴,jiàn
㨶,dǎo
㨷,jìn
㨸,mà
㨹,huì xuě
㨺,miǎn mén
㨻,cán shǎn zàn chàn
㨽,pì
㩃,qiān
㩄,shāi
㩆,jiù zú
㩇,huò zuó huá
㩈,yǔn
㩉,dá lā xī xié
㩊,xuān
㩋,sù xiāo
㩌,fèi
㩍,cè
㩒,qín
㩓,huǐ
㩖,qiáng
㩘,nǐ
㩙,sāi
㩚,méng
㩝,háo
㩟,zhài
㩠,āo piǎo póu
㩡,luǒ
㩢,miè mì
㩤,fū
㩦,xié xī
㩧,bó
㩨,huì
㩩,qǐng
㩯,pó
㩰,jiǎo
㩱,jué
㩳,sǒng
㩴,jú qú
㩵,è
㩶,niè
㩷,qiān
㩸,dié
㩻,qī guì guǐ
㩼,zhī
㩽,qí chì è
㩾,zhuì qí
㩿,kū
㪀,yú
㪁,qín kān qiàn qián
㪂,kū
㪃,hé
㪄,fú
㪆,dǐ
㪇,xiàn
㪈,guì
㪋,hàn hě
㪍,bó bèi
㪎,shǎn nà
㪏,bǐ
㪐,lù
㪑,yè
㪒,ní
㪓,chuái
㪕,diào chuò
㪖,lù
㪗,tǒu
㪛,zhěn
㪜,chuǎi duǒ
㪝,liàn
㪠,qiān qiàn jiān
㪡,kài kě
㪣,xiāo qiāo
㪤,bì
㪥,zhā
㪦,yìn
㪧,xī
㪩,sù
㪬,chuō zhuó
㪭,lú
㪮,líng
㪱,huàn
㪴,jiá
㪵,bàn
㪶,hú
㪷,dǒu
㪹,lǒu
㪺,jū
㪻,juàn
㪼,kě
㪽,suǒ
㪾,luò gé
㫂,zhù
㫃,yǎn
㫊,yǐ ě
㫍,yóu yǎo
㫎,huī gǔn
㫏,yǎo
㫐,yǎo
㫑,zhǐ shí
㫒,gǒng
㫔,gèn
㫘,mì
㫙,fú
㫚,hū
㫛,guàng
㫜,tǎn
㫝,dī
㫟,yán
㫢,qù
㫥,mǐng
㫦,tāo
㫨,ān
㫰,lǎng làng
㫱,nǎn nàn
㫲,bèi
㫵,fēi
㫶,zhǒu
㫷,jī
㫸,jiē
㫹,shù
㫻,kùn
㫽,lù
㬂,yú
㬃,tái
㬄,chàn
㬆,mǐn
㬇,huàn
㬈,wēn
㬊,huǎn
㬋,hóu
㬌,jìng
㬍,bó
㬎,xiǎn
㬏,lì
㬐,jìn zī
㬒,mǎng
㬓,piào
㬔,háo
㬕,yáng
㬗,xiàn
㬘,sù
㬙,wěi
㬚,chè
㬛,xī
㬝,céng sōng
㬠,shài shà
㬣,duì
㬤,qī
㬥,pù bó
㬦,yuè
㬬,jù
㬭,jiào
㬮,nàn
㬯,liè
㬲,tiān
㬳,wǔ
㬴,hǒng
㬶,hào
㬸,tiāo
㬹,zhēng
㬻,huāng hāng huǎng
㬼,fù
㬿,tūn
㭁,réng
㭂,jiǎo
㭄,xìn
㭇,yuàn
㭈,jué
㭉,huá
㭑,mèi
㭒,sì
㭓,biàn
㭔,lú
㭕,qū
㭘,gé hé
㭙,zhé
㭚,lǚ
㭛,pài bà
㭜,róng
㭝,qiú òu
㭞,liè
㭠,xiǎn
㭡,xì xìn
㭢,xīn
㭩,liè
㭪,fū
㭫,cuó cuán
㭭,bā bèi biē
㭮,zuò zǎn
㭯,zhé dié
㭰,zuī zuǐ
㭸,tú
㭺,yǎn yàn ān
㭼,tà
㭽,dǐ
㭾,jué
㭿,áng
㮀,hán
㮁,xiáo
㮂,jú
㮃,wēi ruí
㮅,zhuī
㮇,tiàn
㮏,nài nì nà
㮐,shěng sì
㮑,chā qì
㮒,yān yīn
㮔,chòng tóng
㮕,ruǎn
㮖,jiá
㮗,qín
㮘,máo
㮙,è
㮚,lì
㮛,chí yí
㮜,zāng
㮝,hé
㮟,niǎn kā
㮣,gài
㮥,bèn fàn
㮦,suǒ sè
㮧,wū wēn
㮨,jì
㮩,xī
㮪,qióng
㮫,hé xiá qià
㮬,wēng
㮭,xián
㮮,jié
㮯,hún huá
㮰,pí
㮱,shēn
㮲,chōu
㮳,zhèn
㮵,zhān
㮶,shuò
㮷,jī
㮹,zhǐ
㮾,lǎng
㮿,bì
㯀,xuàn
㯁,péi
㯂,dài
㯄,zhī
㯅,pí bī
㯆,chǎn shàn
㯊,hén
㯋,jiǒng yǐng
㯌,chuán
㯎,nèn
㯓,tà dá
㯔,cuì
㯕,xī
㯗,xián
㯘,kuǎn
㯙,zhé
㯚,tā
㯛,hú
㯜,cuì
㯝,lù
㯠,qiàn
㯡,pào páo
㯢,zhèn
㯤,lì
㯥,cáo zāo
㯩,tì
㯫,qú
㯬,liǎn
㯮,shú
㯯,gòng dǎn jù
㯱,pāo
㯲,jìn
㯷,pú
㯸,jǐn
㯺,jiàn
