Character,Reading
变,kawaru kaeru
叙,tsuideru tsuide noberu
叚,kariru kasu
叛,somuku
叟,okina
叠,tatamu tatami
叡,akiraka
叢,kusamura muragaru
口,kuchi
古,furui inishie
另,wakareru saku betsuno betsuni
叧,wakeru
叨,midarini
叩,tataku tataki
只,tada
叫,sakebu
召,mesu
叮,tanomu nengoro sasu
可,yoi beshi bakari
台,utena yorokobu
叱,shikaru
史,fubito fumi sakan
右,migi tasukeru
叵,dekinai sukoburu tsuini
叶,kanau
号,sakebu yobina
司,tsukasadoru tsukasa
叺,kamasu
叼,kuwaeru
吁,au
吂,oiboreru
吃,domoru
各,onoono
吆,koe kogoe
合,au awaseru
吉,yoi
吊,tsurusu tsuru tsuri
吋,inchi
同,onaji tomoni tomonisuru
名,na nanoru nazukeru
后,kimi kisaki
吏,tsukasa
吐,haku
向,muku mukau sakini
吓,odosu
吕,sebone
吘,yawaragu
吚,umeku
君,kimi
吜,koe
吝,oshimu
吞,nomu
吟,utau naku
吠,hoeru hoe
吡,soshiru
吢,haku
吤,koe
否,ina inamu arazu
吧,ookuchinosama
吩,fuku
吪,ugoku kaeru kawaru
含,fukumu fukumeru
听,warau pondo
吭,nodo
吮,suu
启,hiraku
吱,koenosama
吲,hohoemu azawarau
吳,kure kureru
吴,kure kureru
吵,saezuru koe
吶,domoru
吸,suu
吹,fuku
吺,sasayaku
吻,kuchisaki
吼,hoeru
吽,hoeru
吾,ware
吿,tsugeru
呀,a atsu
呁,haku tomurau toburau
呂,sebone
呃,naku
呆,oroka akireru
呈,shimesu
呉,kure kureru
告,tsugeru
呍,hoeru
呎,fiito
呏,garon kuoto
呐,domoru
呑,nomu
呞,kamikaesu
呟,tsubuyaku
呡,kuchibata
呤,sasayaki
呥,kamusama
呦,musebu sakebu
呧,shikaru
周,mawari amaneshi meguru
呩,tashinamu konomu
呪,norou noroi
呫,nameru sasayaku shaberu
呬,iki ikou
呭,shaberu tanoshimu
呮,koshikakeru
呰,semeru soshiru kizu
味,aji ajiwau
呴,ikiwokaketeatatameru
呵,shikaru warau
呶,kamabisushi
呷,suu aoru
呻,utau umeku
呼,yobu
命,inochi oose mikoto
呾,shikariau yobiau
呿,hiraku akubisuru
咀,kamu
咁,hukumu
咂,suu
咄,shikaru hanashi
咅,tsubaohaiteinamu
咆,hoeru
咈,tagau ina
咉,fusagaru
咋,kuu kurau kamu
和,yawaragu nagomu nagoyaka
咍,warahu yorokobu
咎,toga togameru
咏,utau
咐,iitsukeru
咒,norou noroi
咕,butsubutsuiu
咜,shikaru
咠,sasayaku soshiru
咡,kuchimoto kuchi
咢,odoroku
咤,shikaru
咥,warau kamu tomaru
咦,toiki
咨,hakaru au
咪,meetoru
咫,ta
咬,kamu
咭,koenosama
咮,kuchibashi
咯,haku
咰,nomu
咱,ware
咲,saku warau saki
咳,seki
咴,koe
咶,iki neburu
咷,naku
咸,mina
咹,domoru sasayaku yamu
咺,osoreru
咼,yokoshima
咽,nodo
咾,koe
咿,tsukuriwarai
哀,aware awaremu kanashii
品,shina
哂,warau
哄,koe taburakasu
哅,wameku
哆,ookii ookuchi
哇,yokoshima haku musebu
哈,nomu susuru kuu
哉,kana ya
哊,haku
响,hibiiku
哘,sasou
哠,shaberu
員,kazu
哢,saezuru
哥,utau
哦,utau
哧,monomi
哨,mihari
哩,wai mairu
哫,kobiru
哬,shikaru semeru
哭,naku
哮,hoeru
哯,haku
哰,hiku hipparu
哱,koe midareru
哲,akiraka satoi
哺,fukumu hagukumu
哻,nemuru
哼,obieru
哽,musebu
哾,nameru
哿,yoi
唀,sasoou
唁,tomurau
唄,uta
唅,hukumu hukumasemono
唆,sosonokasu
唇,kuchibiru
唈,nageku musebu
唉,aa aaoo iyaiyakotaeru
唋,haku
唌,nageku
唍,hohoemu
唎,koe
唏,nageku
唐,kara
唕,sawagashii
唖,oshi
唗,kore ya
唤,yobu
唧,kakotsu
唪,oogoe
唫,domoru otojiru uutau
唭,oroka azamuku
售,uru
唯,tada kore
唰,hanetsukurohu
唱,tonaeru utau uta
唲,hetsurau katakoto
唳,naku
唴,naku
唵,hukumu
唶,naku
唷,warau
唸,unaru unari
唹,warau
唻,utau
唼,kurahu susuru tsuibamu humu
唾,tsuba
唿,ureeru
啀,igamu
啁,tawamureru
啄,tsuibamu
啅,yakamashii tsuibamu
商,akinau
啇,moto nemoto yawaragu
啈,sawagukoe
啉,kamabisushii musaboru
啊,koe
啋,kamabisushii ookii
