"Character","Reading"
"外","wài"
"多","duō"
"夜","yè"
"够","goù"
"夠","goù"
"夢","mèng"
"大","dà,dài"
"天","tiān,tian"
"太","tài,tai"
"夫","fu,fū"
"央","yāng"
"失","shī"
"头","toú,tou"
"夸","kuā"
"夹","jiā,jiá"
"夺","duó"
"夾","jiā,jiá"
"奇","qí"
"奈","nài"
"奉","fèng"
"奋","fèn"
"奏","zoù"
"奔","bēn,bèn"
"奖","jiǎng"
"套","tào"
"奠","diàn"
"奪","duó"
"奮","fèn"
"女","n̈ǔ,n̈u"
"奴","nú"
"奶","nǎi,nai"
"奸","jiān"
"她","tā"
"好","hǎo,hāo,hào"
"如","rú"
"妄","wàng"
"妇","fù,fu"
"妈","mā,ma"
"妙","miào"
"妥","tuǒ"
"妨","fáng,fāng"
"妹","mèi,mei"
"妻","qī"
"姆","mǔ"
"姊","zǐ"
"始","shǐ"
"姐","jie,jiě"
"姑","gū,gu"
"姓","xìng"
"委","wěi"
"姜","jiāng"
"姨","yí"
"姻","yīn"
"姿","zī"
"威","wēi"
"娃","wá,wa"
"娇","jiāo"
"娘","niang,niáng"
"娛","yú"
"娱","yú"
"娶","qǔ"
"婆","pó,po"
"婚","hūn"
"婦","fù,fu"
"婴","yīng"
"婶","shěn,shen"
"媳","xí"
"媽","mā,ma"
"嫁","jià"
"嫂","sǎo,sao"
"嫌","xián"
"嫩","nèn"
"嬌","jiāo"
"嬰","yīng"
"嬸","shěn,shen"
"子","zi,zǐ"
"孔","kǒng"
"字","zì,zi"
"存","cún"
"孙","sūn"
"季","jì"
"孤","gū"
"学","xué"
"孩","hái"
"孫","sūn"
"孵","fū"
"學","xué"
"宁","níng,nìng"
"它","tā"
"宅","zhái"
"宇","yǔ"
"守","shoǔ"
"安","ān"
"完","wán"
"宏","hóng"
"宗","zōng,zong"
"官","guān"
"宙","zhoù"
"定","dìng"
"宜","yi,yí"
"宝","bǎo"
"实","shí,shi"
"审","shěn"
"客","kè"
"宣","xuān"
"室","shì"
"宪","xiàn"
"宫","gōng"
"宮","gōng"
"宰","zǎi"
"害","hài,hai"
"宴","yàn"
"宵","xiāo"
"家","jiā,jia"
"容","róng"
"宽","kuān"
"宾","bīn"
"宿","sù,xiǔ"
"寂","jì"
"寄","jì"
"密","mì"
"寇","koù"
"富","fù"
"寒","hán"
"寓","yù"
"寞","mò"
"察","chá"
"寡","guǎ"
"實","shí,shi"
"寧","níng,nìng"
"審","shěn"
"寫","xiě"
"寬","kuān"
"寶","bǎo"
"寸","cùn,cun"
"对","duì"
"寻","xún,xín"
"导","dǎo"
"寿","shoù"
"封","fēng"
"射","shè"
"将","jiāng,jiàng"
"將","jiāng,jiàng"
"專","zhuān"
"尊","zūn"
"尋","xún,xín"
"對","duì"
"導","dǎo"
"小","xiǎo"
"少","shǎo,shao,shào"
"尔","ěr"
"尖","jiān"
"尘","chén"
"尚","shàng,shang"
"尝","cháng"
"尤","yoú"
"就","jiù"
"尸","shī"
"尺","chǐ"
"尽","jǐn,jìn"
"尾","wěi"
"尿","niào"
"局","jú"
"屁","pì"
"层","céng"
"居","jū"
"屆","jiè"
"屈","qū,qu"
"屉","ti"
"届","jiè"
"屋","wū"
"屎","shǐ"
"屏","píng"
"屑","xiè"
"展","zhǎn,zhan"
"屜","ti"
"属","shǔ"
"屠","tú"
"層","céng"
"屬","shǔ"
"山","shān"
"屹","yì"
"屿","yǔ"
"岁","suì"
"岂","qǐ"
"岖","qū"
"岗","gǎng,gāng"
"岛","dǎo"
"岡","gāng"
"岩","yán"
"岭","lǐng"
"岸","àn"
"峡","xiá"
"峦","luán"
"峨","é"
"峭","qiào"
"峰","fēng"
"島","dǎo"
"峻","jùn"
"峽","xiá"
"崇","chóng"
"崎","qí"
"崖","yá"
"崗","gǎng,gāng"
"崩","bēng"
"崭","zhǎn"
"崽","zǎi"
"嵌","qiàn"
"嶄","zhǎn"
"嶇","qū"
"嶺","lǐng"
"嶼","yǔ"
"巍","wēi"
"巒","luán"
"州","zhoū"
"巡","xún"
"巢","cháo"
"工","gōng"
"左","zuǒ"
"巧","qiǎo"
"巨","jù"
"巩","gǒng"
"差","chà,chā,chāi"
"己","jǐ"
"已","yǐ"
"巴","ba,bā"
"巷","xiàng"
"巾","jīn"
"币","bì"
"市","shì"
"布","bù"
"帅","shuài"
"帆","fān"
"师","shī"
"希","xī"
"帐","zhàng"
"帕","pà"
"帘","lián"
"帚","zhou"
"帜","zhì"
"帝","dì"
"帥","shuài"
"带","dài"
"師","shī"
"席","xí"
"帮","bāng"
"帳","zhàng"
"帶","dài"
"常","cháng"
"帽","mào"
"幅","fú"
"幕","mù"
"幟","zhì"
"幣","bì"
"幫","bāng"
"干","gàn,gān"
"平","píng"
"年","nián"
"并","bìng"
"幸","xìng"
"幻","huàn"
"幼","yoù"
"幾","jǐ"
"广","guǎng"
"庄","zhuāng"
"庆","qìng"
"床","chuáng"
"序","xù"
"库","kù"
"应","yīng,yìng,ying"
"底","dǐ"
"店","diàn"
"庙","miào"
"府","fǔ"
"庞","páng"
"废","fèi"
"度","dù,du"
"座","zuò"
"庫","kù"
"庭","tíng"
"康","kāng"
"庸","yōng"
"廁","cè"
"廂","xiāng"
"廈","shà"
"廉","lián"
"廓","kuò"
"廚","chú"
"廟","miào"
"廠","chǎng"
"廢","fèi"
"廣","guǎng"
"廳","tīng"
"延","yán"
"建","jiàn"
"廿","niàn"
"开","kāi"
"异","yì"
"弃","qì"
"弄","nòng"
"式","shì,shi"
"弓","gōng"
"引","yǐn"
"弟","dì,di"
"张","zhāng"
"弥","mí"
"弦","xián"
"弯","wān"
"弱","ruò"
"張","zhāng"
"強","qiáng,qiǎng"
"弹","dàn,tán,tan"
"强","qiáng,qiǎng"
"彈","dàn,tán,tan"
"彌","mí"
"彎","wān"
"归","guī"
"当","dāng,dàng,dang"
"录","lù"
"形","xíng,xing"
"彩","cǎi,cai"
"影","yǐng"
"役","yì"
"彻","chè"
"彼","bǐ"
"往","wǎng,wàng"
"征","zhēng"
"径","jìng"
"待","dài"
"很","hěn"
"徊","huái"
"律","l̈ù"
"徐","xú"
"徑","jìng"
"徒","tú"
"得","de,dé,děi"
"徘","pái"
"從","cóng,cōng"
"御","yù"
"循","xún"
"微","wēi"
"德","dé"
"徹","chè"
"心","xīn,xin"
"必","bì"
"忆","yì"
"忍","rěn"
"志","zhì"
"忘","wàng"
"忙","máng"
"忠","zhōng"
"忧","yoū"
"快","kuài,kuai"
"忱","chén"
"念","niàn"
"忽","hū"
"忿","fèn"
"怀","huái"
"态","tài"
"怎","zěn"
"怒","nù"
"怔","zhēng"
"怕","pà"
"怖","bù"
"怜","lián"
"思","sī,si"
"急","jí"
"怦","pēng"
"性","xìng,xing"
"怨","yuàn,yuan"
"怪","guài"
"怯","qiè"
"总","zǒng"
"恆","héng"
"恋","liàn"
"恍","huǎng"
"恐","kǒng"
"恒","héng"
"恢","huī"
"恥","chǐ"
"恨","hèn"
"息","xi,xī"
"恰","qià"
"恳","kěn"
"恶","è,wù"
"恼","nǎo"
"悄","qiāo"
"悅","yuè"
"悉","xī"
"悔","huǐ"
"悟","wù"
"悠","yoū"
"患","huàn"
"悦","yuè"
"您","nín"
"悬","xuán"
"悲","bēi"
"悶","mèn,mēn"
"悼","dào"
"情","qíng,qing"
"惊","jīng"
"惋","wǎn"
"惑","huò,huo"
"惕","tì"
"惚","hū"
"惜","xī"
"惟","wéi"
"惡","è,wù"
"惦","diàn"
"惧","jù"
"惨","cǎn"
"惩","chéng"
"惭","cán"
"惯","guàn"
"惱","nǎo"
"想","xiǎng"
"惶","huáng"
"惹","rě"
"愁","choú"
"愈","yù"
"愉","yú"
"意","yì,yi"
"愕","è"
"愚","yú"
"愛","ài"
"感","gǎn"
"愣","lèng"
"愤","fèn"
"愧","kuì"
"愿","yuàn"
"慈","cí"
"態","tài"
"慌","huāng,huang"
"慎","shèn"
"慕","mù"
"慘","cǎn"
"慚","cán"
"慢","màn"
"慣","guàn"
"慧","huì"
"慨","kǎi"
"慮","l̈ù"
"慰","wèi"
"慶","qìng"
"慷","kāng"
"憂","yoū"
"憋","biē"
"憐","lián"
"憑","píng"
"憤","fèn"
"憧","chōng"
"憬","jǐng"
"憲","xiàn"
"憶","yì"
"憾","hàn"
"懂","dǒng"
"懇","kěn"
"應","yīng,yìng,ying"
"懒","lǎn"
"懲","chéng"
"懶","lǎn"
"懷","huái"
"懸","xuán"
"懼","jù"
"戀","liàn"
"戏","xì"
"成","chéng,cheng"
"我","wǒ"
"戒","jiè"
"或","huò"
"战","zhàn"
"戚","qi"
"截","jié"
"戰","zhàn"
"戲","xì"
"戴","dài"
"戶","hù,hu"
"户","hù,hu"
"房","fáng"
"所","suǒ"
"扁","biǎn"
"扇","shàn,shān"
"手","shoǔ,shou"
"才","cái,cai"
"扎","zhā,zhá"
"扑","pū"
"扒","bā"
"打","dǎ,da"
"扔","rēng"
"托","tuō"
"扛","káng"
"扣","koù"
"执","zhí"
"扩","kuò"
"扫","sǎo,sào"
"扬","yáng"
